"","term","gene"
"157","aDC%IRIS%2.txt110","MTHFD2"
"158","aDC%IRIS%2.txt111","SEC24A"
"159","aDC%IRIS%2.txt112","NEU3"
"160","aDC%IRIS%2.txt113","LILRB1"
"161","aDC%IRIS%2.txt114","CD300C"
"162","aDC%IRIS%2.txt115","LILRB5"
"163","aDC%IRIS%2.txt116","RAB35"
"164","aDC%IRIS%2.txt117","OGFR"
"165","aDC%IRIS%2.txt118","HPS5"
"166","aDC%IRIS%2.txt119","TREX1"
"167","aDC%IRIS%2.txt120","TFEC"
"168","aDC%IRIS%2.txt121","RAB21"
"169","aDC%IRIS%2.txt122","KDM6B"
"170","aDC%IRIS%2.txt123","FAM175B"
"171","aDC%IRIS%2.txt124","MGRN1"
"172","aDC%IRIS%2.txt125","TDRD7"
"173","aDC%IRIS%2.txt126","ABCA6"
"174","aDC%IRIS%2.txt127","DNPEP"
"175","aDC%IRIS%2.txt128","ACOT9"
"176","aDC%IRIS%2.txt129","NUP62"
"177","aDC%IRIS%2.txt130","BCL2L13"
"178","aDC%IRIS%2.txt131","FBXL4"
"179","aDC%IRIS%2.txt132","SIGLEC7"
"180","aDC%IRIS%2.txt133","CYTH4"
"181","aDC%IRIS%2.txt134","SIGLEC9"
"182","aDC%IRIS%2.txt135","TOR1B"
"183","aDC%IRIS%2.txt136","GPR132"
"184","aDC%IRIS%2.txt137","IL19"
"185","aDC%IRIS%2.txt138","CD209"
"186","aDC%IRIS%2.txt139","ANKFY1"
"187","aDC%IRIS%2.txt140","AZIN1"
"188","aDC%IRIS%2.txt141","RIN2"
"189","aDC%IRIS%2.txt142","TBC1D13"
"190","aDC%IRIS%2.txt143","GPN2"
"191","aDC%IRIS%2.txt144","C1orf27"
"192","aDC%IRIS%2.txt145","ARL8B"
"193","aDC%IRIS%2.txt146","ZNF654"
"194","aDC%IRIS%2.txt147","TBC1D22B"
"195","aDC%IRIS%2.txt148","MFN1"
"196","aDC%IRIS%2.txt149","SCYL2"
"197","aDC%IRIS%2.txt150","CHFR"
"198","aDC%IRIS%2.txt151","KCNK13"
"199","aDC%IRIS%2.txt152","C5orf15"
"200","aDC%IRIS%2.txt153","RPGRIP1"
"201","aDC%IRIS%2.txt154","CAMK1G"
"202","aDC%IRIS%2.txt155","DENND1A"
"203","aDC%IRIS%2.txt156","GPR107"
"204","aDC%IRIS%2.txt157","HAMP"
"205","aDC%IRIS%2.txt158","MIIP"
"206","aDC%IRIS%2.txt159","NSUN3"
"207","aDC%IRIS%2.txt160","MMP25"
"208","aDC%IRIS%2.txt161","UBE2Z"
"209","aDC%IRIS%2.txt162","TNIP2"
"210","aDC%IRIS%2.txt163","OPA3"
"211","aDC%IRIS%2.txt164","TMX1"
"212","aDC%IRIS%2.txt165","SLCO5A1"
"213","aDC%IRIS%2.txt166","NETO2"
"214","aDC%IRIS%2.txt167","MED25"
"215","aDC%IRIS%2.txt168","SLC25A28"
"216","aDC%IRIS%2.txt169","ADPGK"
"217","aDC%IRIS%2.txt170","MAGT1"
"218","aDC%IRIS%2.txt171","DOT1L"
"219","aDC%IRIS%2.txt172","LILRA5"
"220","aDC%IRIS%2.txt173","TMEM41B"
"221","aDC%IRIS%3.txt1","ACHE"
"222","aDC%IRIS%3.txt2","ALOX15B"
"223","aDC%IRIS%3.txt3","RHOG"
"224","aDC%IRIS%3.txt4","ATP1B3"
"225","aDC%IRIS%3.txt5","BLVRA"
"226","aDC%IRIS%3.txt6","C1QB"
"227","aDC%IRIS%3.txt7","CD80"
"228","aDC%IRIS%3.txt8","CD86"
"229","aDC%IRIS%3.txt9","EIF5"
"230","aDC%IRIS%3.txt10","ENO1"
"231","aDC%IRIS%3.txt11","ETV3"
"232","aDC%IRIS%3.txt12","GNG5"
