,b cell,endothelial cell,epithelial cell,fibroblast,macrophage,nk cell,pericyte cell,smooth muscle,t cell
GTEX-1GN1W-1326,-3.6109672209571135,1.6139202004207875,-0.19094399651846958,2.1097022506295153,-0.24608049008006974,-1.3144185416049772,-2.333896192420786,2.9915089395881114,0.981175050943001
GTEX-1GZ4H-0826,-3.7493378379153106,1.578923634470647,-0.4647156831131334,2.4121562013175954,-0.5023469009705573,-0.5862595716882025,-1.9379397304219004,2.5477634285142226,0.7017564598066373
GTEX-1GZHY-2526,-2.7003172584014803,1.449388990807185,-0.7677624666390822,2.495347546550695,-0.618884169931204,-1.22156978697204,-2.2852605324437807,2.474634511315166,1.1744231657145399
GTEX-1I4MK-1426,-3.6353650050692816,1.2054139715421883,-0.1383570353783289,2.538613030033724,-0.6428414221000522,-1.500683053603668,-1.6138764112629294,2.7967303578237295,0.9903655680146174
GTEX-1ICG6-1426,-3.343492335329214,1.5967465760258084,-0.0863681829902037,2.366826947159572,0.4766080027865132,-2.249254106672354,-2.9072724888905115,3.3796516072222027,0.7665539806881858
GTEX-1JN76-1626,-2.839074584946422,2.052482167848138,-1.4682384411661697,2.9996700604339996,0.3949662871170277,-2.839074584946422,-2.839074584946422,3.9515608894080434,0.586782791198227
GTEX-1K9T9-2526,-3.5305046498044863,1.590789610651058,-0.712327708472208,2.472195877311154,-0.24021814113105958,-1.7878751151755328,-1.910952371087647,2.970544830357458,1.148347667351261
GTEX-1KANC-1126,-3.1491125220204657,1.9164727356683975,-0.4844064240252108,2.5392821483128807,0.46261054815313607,-2.842726982028369,-2.8499834810125733,3.602160967272523,0.8057030096796794
GTEX-1LGRB-2226,-3.180818841440475,2.1816896714636114,-0.49771080929109557,2.470401149987962,0.17257518199467928,-3.180818841440475,-3.180818841440475,3.3819849895599505,1.8335163406063153
GTEX-1LH75-1626,-3.1514629016692983,1.9081501545890618,-0.9740944972452901,2.42183853050597,0.555920373747016,-3.1514629016692983,-2.8870842181675087,3.536882081202942,1.7413133787064035
GTEX-1LVAM-2026,-3.110359305095439,1.455834492932533,0.015301436981384461,2.8353824862795993,-0.16467677364531247,-3.110359305095439,-3.1103593050954386,3.5396769143366464,1.649559358401466
GTEX-1MA7W-1526,-3.103262735107389,1.9489914170781308,-0.581508472237256,2.8909009207534853,0.4918530371351229,-3.103262735107389,-3.103262735107389,3.5021180952198185,1.057433207372867
GTEX-1MCC2-1226,-3.795178011685161,1.4823306100447986,0.2578164922521475,2.375443256375951,-0.24479104287562162,-0.7940552866218646,-2.553455096556401,2.3942681309157177,0.8776209481504346
GTEX-1MCYP-1226,-3.007570438803915,1.6981119663288708,-0.4334744129531196,2.958276555990394,0.11313374008121735,-3.007570438803915,-3.0075704388039144,3.7133352418752152,0.9733282250891654
GTEX-1NV5F-1726,-3.3974824448139462,2.223444465036229,-0.5250286669832417,2.4723730504014747,0.07230846424096693,-2.150656841844868,-3.159322555690112,2.9514609806892156,1.5129035489642826
GTEX-1QP28-1526,-3.1555725432818638,1.7615081597099738,-0.2669388917225361,2.5790492231036883,-0.1508766492112916,-3.1555725432818638,-3.0852249891995567,3.4539365561677777,2.0196916777156733
GTEX-1R9JW-1326,-3.450689820991103,1.9788681878440375,-0.8664599002721043,2.349298270518123,0.22108563732665237,-2.378627972423913,-2.340586089820963,3.01180416483008,1.4753075229891894
GTEX-1R9PN-0526,-3.3120218134638924,1.8064509859024134,-0.188394361560488,2.5421472456261154,0.012205451113255838,-2.803767252752019,-1.884598061096589,3.367679723726465,0.4602980825047352
GTEX-1S5ZU-2726,-3.130688472391626,2.4830096121423906,-0.7490293928234343,2.4093767694547568,-0.4289566990452014,-3.130688472391626,-3.1306884723916255,3.214651858788778,2.463013268657587
GTEX-1S82U-1226,-2.968389190618734,1.865623832941869,-1.2462663927395394,2.676055947401438,0.48670623140196057,-2.968389190618734,-2.9683891906187334,3.839701338475475,1.2833466143749956
GTEX-N7MT-0726,-3.657378668948588,2.216287112725506,-0.5325598018791144,1.8825613658367433,-0.19830391359221095,-2.110533043499301,-1.8858196415185393,2.526024604793327,1.7597219860821771
GTEX-OHPL-2026,-3.5944897428847886,1.5997655538959434,-0.21971290994914305,2.2375855070154147,-0.06234642171887732,-2.4916960032677165,-1.6127721105744055,2.9238666766050168,1.219799450878556
GTEX-OHPN-1926,-2.9561942796770397,1.2758871851148004,-0.5139309713419976,2.071018017393171,-0.05827441560555848,-1.4325806474996776,-1.8813406287737615,2.4737465256976137,1.021669214692447
GTEX-P4QT-2026,-3.356146404811661,2.154014102270875,-0.6882246887635011,2.3356800025975883,0.3281350375989487,-2.7521108426361374,-2.2528156528477408,3.224912454009531,1.0065559925820964
GTEX-POMQ-1226,-2.967191862472301,1.9825418875451475,-0.6370547377153457,2.685915796710937,0.6724668623579106,-2.967191862472301,-2.967191862472301,3.8603972269006683,0.33730855161758266
GTEX-PWCY-1426,-3.519175985137239,1.5279816450859338,0.8076900338670409,2.5650612387978233,-0.2500765029594287,-2.5202245783601103,-2.7237119884691112,2.8212653900387816,1.291190747136308
GTEX-PWN1-2026,-2.868500460502289,1.9120229104117232,-0.8443151148090194,2.8263183386569626,0.4455757007078978,-2.868500460502289,-2.868500460502289,3.994166329631537,0.27173321690776403
GTEX-PX3G-2026,-3.496908322126082,1.870426370204185,-0.9035825749299561,2.5383823952925515,0.342236325499599,-2.117426938651809,-2.31589142051591,2.8738745862184842,1.208889579008936
GTEX-Q734-1626,-3.5700863455798704,1.7849886837227198,-0.7307821909894722,2.282027225155982,0.01459319801428558,-1.6303100521741394,-2.400726585534695,2.876423507991968,1.3738725593932215
GTEX-QCQG-1326,-3.6239491171668132,1.1575553682911701,-0.3386421721793668,2.64864403431105,-0.40054030938587154,-1.3421213839279873,-2.1203936629501574,2.6551283004853006,1.364318942522675
GTEX-QDT8-2426,-3.619890372868401,1.5388478267555838,-0.5836567454987382,2.0060963101716207,-0.3329868488975221,-1.1040012610094108,-1.837641475715472,2.6214955627895917,1.311737004272745
GTEX-R55G-1626,-2.9355103571200565,1.7090755152372836,-0.9047460131997884,2.9228475483126406,0.5198360730350228,-2.9355103571200565,-2.9355103571200565,3.859884817628431,0.6996331303465808
GTEX-RTLS-2426,-3.200146130178175,1.3150340694784888,-0.5089614031387131,1.7851999100637892,-0.8028554659596626,-0.9290093506898175,-1.1918656287516902,2.3886281203741606,1.1439758788016183
GTEX-RU1J-1026,-3.0780126412805826,1.9045763416135373,-0.8724768974915882,2.754889254168808,0.4822098698397433,-2.780012568135027,-2.64586832291766,3.661821771762592,0.5728731924401741
GTEX-S32W-1426,-3.4237092284008037,1.5680542055033642,-0.31285080997321,2.485771647679504,-0.19190354738922072,-1.863492551209106,-2.7312342153875333,3.152717769232649,1.3166467299443554
GTEX-S341-1026,-2.935227858497552,2.0464178909184056,-0.6185367623335679,2.511887480040673,0.6049060528171423,-2.935227858497552,-2.935227858497552,3.9534694800994146,0.3075394339505881
GTEX-S4UY-1226,-3.053380832840493,1.9640569107993404,-0.5168969928241477,2.6659352599709414,0.26576655167795965,-2.9161577814295683,-3.0533808328404937,3.7116752357931624,0.932382481693299
GTEX-S7SF-0826,-3.290533778505402,2.3414578337327008,-0.5211182572190156,2.3737088546270475,0.5226720564783296,-3.290533778505402,-2.535592847278616,3.2351606688241206,1.1647792478462367
