"Donor","organ","measurement"
"Donor500","Uterus",0.130147593148771
"Donor501","Vagina",NA
"Donor502","Ovary",0.161396331149333
"Donor503","Uterus",0.337912314367713
"Donor504","Vagina",0.11706853688558
"Donor505","Ovary",0.79537546855432
"Donor506","Uterus",0.770721481181681
"Donor507","Vagina",NA
"Donor508","Ovary",0.821026350770678
"Donor509","Uterus",0.652430522773001
"Donor510","Vagina",NA
"Donor511","Ovary",0.114475329273694
"Donor512","Uterus",NA
"Donor513","Vagina",0.526833061842775
"Donor514","Ovary",0.35827840362554
"Donor515","Uterus",0.0153674233991686
"Donor516","Vagina",0.649136000921806
"Donor517","Ovary",NA
"Donor518","Uterus",NA
"Donor519","Vagina",0.86657819255572
"Donor520","Ovary",0.874798983335495
"Donor521","Uterus",NA
"Donor522","Vagina",0.891665225550973
"Donor523","Ovary",0.852522910350845
"Donor524","Uterus",0.856757910549641
"Donor525","Vagina",0.504463760929383
"Donor526","Ovary",0.647701860795838
"Donor527","Uterus",NA
"Donor528","Vagina",NA
"Donor529","Ovary",0.224338715721387
"Donor530","Uterus",0.11195409031851
"Donor531","Vagina",0.0954252601495095
"Donor532","Ovary",0.876433581919283
"Donor533","Uterus",NA
"Donor534","Vagina",0.941521480679512
"Donor535","Ovary",0.170790633528183
"Donor536","Uterus",0.116404466229142
"Donor537","Vagina",0.26357341679726
"Donor538","Ovary",0.605956676140152
"Donor539","Uterus",0.0783290433424885
"Donor540","Vagina",NA
"Donor541","Ovary",0.764237908507461
"Donor542","Uterus",0.329979866626672
"Donor543","Vagina",NA
"Donor544","Ovary",0.118836134472596
"Donor545","Uterus",NA
"Donor546","Vagina",NA
"Donor547","Ovary",0.253393498690505
"Donor548","Uterus",0.287709980789158
"Donor549","Vagina",0.647551023698115
"Donor550","Ovary",NA
"Donor551","Uterus",0.300979994022502
"Donor552","Vagina",NA
"Donor553","Ovary",NA
"Donor554","Uterus",0.755020759322427
"Donor555","Vagina",0.450571710609698
"Donor556","Ovary",0.787076538259333
"Donor557","Uterus",0.794918443147953
"Donor558","Vagina",0.768104396500009
"Donor559","Ovary",0.861339307748354
"Donor560","Uterus",NA
"Donor561","Vagina",0.967718279399609
"Donor562","Ovary",NA
"Donor563","Uterus",NA
"Donor564","Vagina",0.942152000349629
"Donor565","Ovary",0.518223743491735
"Donor566","Uterus",0.286150093977994
"Donor567","Vagina",0.397228199589386
"Donor568","Ovary",0.805209513753653
"Donor569","Uterus",0.747147852182388
"Donor570","Vagina",0.967900497726647
"Donor571","Ovary",0.751664044765326
"Donor572","Uterus",0.75328409448266
"Donor573","Vagina",0.907078977142062
"Donor574","Ovary",NA
"Donor575","Uterus",NA
"Donor576","Vagina",0.547935461560364
"Donor577","Ovary",0.787273637273095
"Donor578","Uterus",0.909304906021465
"Donor579","Vagina",0.915859908317075
"Donor580","Ovary",NA
"Donor581","Uterus",0.97790681773966
"Donor582","Vagina",NA
"Donor583","Ovary",0.535800531076697
"Donor584","Uterus",0.0479332196509858
"Donor585","Vagina",0.489259766286406
"Donor586","Ovary",0.469652634320988
"Donor587","Uterus",0.557162290811539
"Donor588","Vagina",0.465596741702604
"Donor589","Ovary",0.780991421639919
"Donor590","Uterus",0.789611781282084
"Donor591","Vagina",0.855799291282892
"Donor592","Ovary",0.207832991082866
"Donor593","Uterus",0.117112161092726
"Donor594","Vagina",NA
"Donor595","Ovary",0.0676745983905026
"Donor596","Uterus",0.0190461974347045
"Donor597","Vagina",0.339314380420854
"Donor598","Ovary",0.376749000757954
"Donor599","Uterus",0.0396310702063298
"Donor600","Vagina",0.346514124234784
"Donor601","Ovary",0.950949036591762
"Donor602","Uterus",0.987142173307283
"Donor603","Vagina",0.990536369956457
"Donor604","Ovary",0.443351059460838
"Donor605","Uterus",0.0644182388360302
"Donor606","Vagina",0.497239914592974
"Donor607","Ovary",0.173569830786437
"Donor608","Uterus",0.0574188422833686
"Donor609","Vagina",0.076092790645392
"Donor610","Ovary",0.324934806286668
"Donor611","Uterus",0.296500929786513
"Donor612","Vagina",0.566930831995347
"Donor613","Ovary",0.413547217970093
"Donor614","Uterus",0.416551750153303
"Donor615","Vagina",0.504811459819463
"Donor616","Ovary",0.823472449654027
"Donor617","Uterus",0.892495606626783
"Donor618","Vagina",0.81398889452846
"Donor619","Ovary",0.39625551479478
"Donor620","Uterus",0.785748433321714
"Donor621","Vagina",0.503030820099963
"Donor622","Ovary",0.90576896071434
"Donor623","Uterus",0.979159096191669
"Donor624","Vagina",0.726290792495177
"Donor625","Ovary",NA
"Donor626","Uterus",NA
"Donor627","Vagina",0.883888611282621
"Donor628","Ovary",NA
"Donor629","Uterus",NA
"Donor630","Vagina",0.694331676514897
"Donor631","Ovary",0.712659818510855
"Donor632","Uterus",0.969695956618698
"Donor633","Vagina",0.871408735224534
"Donor634","Ovary",0.609823721460998
"Donor635","Uterus",0.0703073548253694
"Donor636","Vagina",0.288648378963771
"Donor637","Ovary",0.799862386851475
"Donor638","Uterus",NA
"Donor639","Vagina",0.770146504794591
"Donor640","Ovary",NA
"Donor641","Uterus",NA
"Donor642","Vagina",0.799156536942864
"Donor643","Ovary",0.773657687008381
"Donor644","Uterus",0.716197431087494
"Donor645","Vagina",0.817972355610446
"Donor646","Ovary",0.0590019252030524
"Donor647","Uterus",0.146396045283591
